date,type,dollar
1-Jan-78,Unadjusted,2.65
1-Jan-79,Unadjusted,2.9
1-Jan-80,Unadjusted,3.1
1-Jan-81,Unadjusted,3.35
1-Apr-90,Unadjusted,3.8
1-Apr-91,Unadjusted,4.25
1-Oct-96,Unadjusted,4.75
1-Sep-97,Unadjusted,5.15
24-Jul-07,Unadjusted,5.85
24-Jul-08,Unadjusted,6.55
24-Jul-09,Unadjusted,7.25
1-Jan-16,Unadjusted,7.25
1-Jan-78,Adjusted,9.68
1-Jan-79,Adjusted,9.51
1-Jan-80,Adjusted,8.96
1-Jan-81,Adjusted,8.78
1-Apr-90,Adjusted,6.92
1-Apr-91,Adjusted,7.43
1-Oct-96,Adjusted,7.21
1-Sep-97,Adjusted,7.64
24-Jul-07,Adjusted,6.72
24-Jul-08,Adjusted,7.24
24-Jul-09,Adjusted,8.05
1-Jan-16,Adjusted,8.05
